이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,고객 세그먼트,차량구분,구매한 제품,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,Cluster,시구
홍상훈,1994-12-01,31,남,1001234567,hongsanghoon30@himedia.co.kr,부산광역시 해운대구 우동 101-12,sanghoon030,2024-02-03,일반,준중형 해치백,i30 (PD),2024-02-22,25560000,카드,1,오프라인,2017-03,6,부산광역시 해운대구
홍성우,1999-06-02,26,남,1012345678,honggildong21@himedia.co.kr,울산광역시 남구 달동 23-5,gildong021,2023-08-18,일반,준대형 suv,Palisade (LX2),2023-09-30,59460000,카드,2,온라인,2018-12,6,울산광역시 남구
홍수진,1970-03-09,55,남,1001234567,hongsujin39@himedia.co.kr,인천광역시 남동구 구월동 88-10,sujin039,2023-03-03,일반,준대형 세단,Grandeur (GN7 HEV),2023-03-03,52410000,카드,1,오프라인,2022-01,7,인천광역시 남동구
홍지민,1980-11-10,45,남,1090123456,hongjimin9@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,jimin009,2024-07-07,일반,준대형 세단,Grandeur (GN7 HEV),2024-07-08,52410000,카드,1,온라인,2022-01,7,경상북도 포항시
김하윤,1960-03-12,65,남,545556645,sunoggim@cagim.kr,부산광역시 해운대구 우동 101-12,seonyeongmun,2024-09-26,일반,준대형 세단,Avante (CN7 N),2023-05-04,82080000,카드,2,오프라인,2020-05,1,부산광역시 해운대구
이지원,1959-11-17,66,여,325666729,lju@nate.com,경기도 수원시 영통구 원천동 12-34,gimgyeongja,2022-03-22,일반,중형 suv,Santa-Fe ™,2024-07-04,72110000,카드,1,온라인,2018-01,1,경기도 수원시
박미영,1980-11-09,45,남,410658495,eungyeonggim@hanmail.net,충청남도 천안시 동남구 성성동 22-3,gyun,2024-05-09,일반,대형 suv,G80 (RG3),2024-01-07,38660000,카드,1,온라인,2020-03,6,충청남도 천안시
이정수,1996-12-13,29,남,521624161,rcoe@daum.net,울산광역시 남구 달동 23-5,namsumin,2023-05-25,이탈가능,준중형 세단,Santa-Fe ™,2024-07-04,37700000,현금,5,온라인,2018-01,4,울산광역시 남구
최현지,1994-06-26,31,남,7003920424,yeweon24@ju.kr,대구광역시 수성구 범어동 55-3,jihungim,2022-07-22,일반,준대형 세단,Avante (CN7 N),2023-05-22,79860000,카드,1,오프라인,2020-05,1,대구광역시 수성구
김도현,1987-01-09,38,남,321271765,jeongsig00@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,sumin33,2024-09-27,일반,준중형 세단,NEXO (FE),2023-06-17,49930000,현금,4,오프라인,2018-01,4,경상북도 포항시
송성민,1976-01-24,49,여,410127092,gangeunji@yuhanhoesa.net,경기도 성남시 분당구 정자동 56-78,bagogsun,2022-11-05,vip,대형 suv,NEXO (FE),2023-08-27,54910000,현금,4,온라인,2018-01,4,경기도 성남시
김민지,1998-01-27,27,남,416882563,ki@live.com,경상북도 포항시 남구 대도동 19-2,jia18,2024-09-22,일반,대형 suv,Avante (CN7 N),2023-09-19,53760000,현금,2,오프라인,2020-05,6,경상북도 포항시
이성현,1974-04-23,51,남,549025788,minjunhan@jusighoesa.com,울산광역시 남구 달동 23-5,lgang,2023-02-04,vip,중형 suv,G70 (IK),2023-05-22,57450000,현금,1,온라인,2017-09,1,울산광역시 남구
박주원,1956-02-25,69,남,214485380,ugim@munio.net,인천광역시 남동구 구월동 88-10,coehyeonji,2023-12-19,일반,픽업트럭,Santa-Fe ™,2024-11-28,75020000,현금,5,오프라인,2018-01,5,인천광역시 남동구
김민석,1980-04-09,45,여,316731720,lgim@yuhanhoesa.net,경기도 수원시 영통구 원천동 12-34,hongjiweon,2023-02-20,vip,대형 suv,Santa-Fe ™,2024-06-03,68050000,현금,2,오프라인,2018-01,3,경기도 수원시
조영순,1980-12-19,45,여,328719659,jaeho07@yu.com,울산광역시 남구 달동 23-5,jihyeon92,2023-02-22,일반,중형 suv,Santa-Fe ™,2025-02-13,89190000,현금,2,오프라인,2018-01,3,울산광역시 남구
김옥자,1967-03-24,58,여,1006319882,jeongsu99@yuhanhoesa.com,대전광역시 유성구 봉명동 44-2,yunseosong,2022-12-03,이탈가능,중형 suv,Avante (CN7 N),2023-04-05,88480000,카드,1,온라인,2020-05,1,대전광역시 유성구
정지영,1977-11-10,48,여,553067917,gyeonghyi68@isongseo.kr,전라북도 전주시 완산구 덕진동 33-7,ni,2024-12-16,일반,준중형 세단,NEXO (FE),2024-04-17,65090000,현금,2,온라인,2018-01,3,전라북도 전주시
최성호,1962-07-02,63,남,446770796,seojuncoe@oyun.com,대구광역시 수성구 범어동 55-3,junyeongcoe,2022-12-19,이탈가능,픽업트럭,Santa-Fe ™,2025-02-13,76580000,카드,5,온라인,2018-01,5,대구광역시 수성구
서은정,2005-03-04,20,여,321706440,ugim@daum.net,서울특별시 종로구 청운동 67-89,seoyeon90,2024-07-07,일반,소형 해치백,G70 (IK),2024-08-31,57120000,현금,5,온라인,2017-09,4,서울특별시 종로구
구도현,1985-06-07,40,남,544875794,sanghyeon16@ju.com,대전광역시 유성구 봉명동 44-2,jihyeon11,2024-08-28,vip,준대형 세단,G80 (RG3),2023-12-11,60270000,현금,2,온라인,2020-03,1,대전광역시 유성구
안민수,1965-07-21,60,남,647594881,yeonghyi48@yu.kr,충청남도 천안시 동남구 성성동 22-3,pi,2024-08-24,일반,소형 해치백,NEXO (FE),2023-06-07,43120000,현금,1,오프라인,2018-01,7,충청남도 천안시
남예진,1972-09-24,53,남,424963606,sanghun79@hanmail.net,대구광역시 수성구 범어동 55-3,whan,2024-08-14,일반,준대형 세단,Avante (CN7 N),2024-04-16,77400000,현금,1,오프라인,2020-05,1,대구광역시 수성구
엄재현,1999-03-22,26,남,521541236,gangjunhyeog@gmail.com,충청남도 천안시 동남구 성성동 22-3,jidonghyeon,2024-02-04,일반,준중형 세단,NEXO (FE),2024-02-11,67120000,현금,1,온라인,2018-01,7,충청남도 천안시
서미정,1961-05-05,64,여,419669178,jeongsug39@bagjang.net,대구광역시 수성구 범어동 55-3,seunghyeongim,2023-07-28,이탈가능,소형 해치백,G70 (IK),2023-04-15,50710000,현금,3,오프라인,2017-09,2,대구광역시 수성구
김상훈,1954-03-13,71,남,635326061,ogsunmun@nate.com,충청남도 천안시 동남구 성성동 22-3,lgim,2024-11-04,일반,준대형 세단,G70 (IK),2024-12-19,87880000,현금,4,오프라인,2017-09,5,충청남도 천안시
김정수,2002-09-24,23,여,419600393,rbag@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,minjaegim,2025-01-08,신규,대형 suv,Avante (CN7 N),2024-06-26,79830000,현금,4,오프라인,2020-05,0,전라북도 전주시
김미경,1984-07-29,41,남,336381854,jugwangsu@jusighoesa.net,경기도 수원시 영통구 원천동 12-34,seohyeon32,2023-07-07,이탈가능,준대형 세단,G70 (IK),2023-05-15,79370000,카드,2,오프라인,2017-09,1,경기도 수원시
김은영,1978-02-13,47,여,538854603,egang@icoe.com,충청북도 청주시 상당구 낙실동 9-1,sangceolcoe,2023-06-22,일반,대형 suv,G80 (RG3),2023-12-09,40770000,현금,3,온라인,2020-03,2,충청북도 청주시
진아름,2001-04-12,24,여,116663726,bgang@yuhanhoesa.kr,부산광역시 해운대구 우동 101-12,ai,2023-10-27,vip,대형 suv,G70 (IK),2024-10-12,60710000,현금,4,오프라인,2017-09,3,부산광역시 해운대구
손병철,1975-06-29,50,남,540598995,ogim@yu.com,서울특별시 종로구 청운동 67-89,seonghun39,2025-01-25,신규,준대형 세단,NEXO (FE),2024-09-02,37420000,현금,2,온라인,2018-01,7,서울특별시 종로구
윤경희,1973-09-17,52,남,621121913,hyeonugim@yuhanhoesa.com,경상남도 창원시 의창구 봉곡동 48-6,yejungang,2022-12-11,일반,중형 suv,G70 (IK),2023-07-20,71520000,현금,5,오프라인,2017-09,5,경상남도 창원시
이정자,2004-03-16,21,여,1024151251,hgim@daum.net,충청남도 천안시 동남구 성성동 22-3,myeongsug84,2024-02-01,이탈가능,중형 suv,Avante (CN7 N),2023-08-26,34130000,현금,5,온라인,2020-05,4,충청남도 천안시
김현준,1957-10-24,68,남,113451098,rgim@dreamwiz.com,대구광역시 수성구 범어동 55-3,jihye30,2022-05-10,일반,대형 suv,Santa-Fe ™,2023-09-16,76700000,현금,4,오프라인,2018-01,5,대구광역시 수성구
최채원,1958-05-01,67,남,535416149,caeweon12@live.com,경상북도 포항시 남구 대도동 19-2,jhan,2024-01-03,vip,준중형 세단,G80 (RG3),2024-06-07,57710000,카드,3,오프라인,2020-03,2,경상북도 포항시
최정호,1987-04-06,38,남,531947742,ei@yu.com,부산광역시 해운대구 우동 101-12,jeonghoi,2024-09-28,이탈가능,대형 suv,Santa-Fe ™,2023-09-30,89020000,현금,3,오프라인,2018-01,1,부산광역시 해운대구
김지훈,1975-08-30,50,남,647840790,ieunjeong@yu.com,전라북도 전주시 완산구 덕진동 33-7,mjo,2022-11-16,일반,중형 suv,Santa-Fe ™,2023-03-18,89450000,현금,1,온라인,2018-01,1,전라북도 전주시
장정식,1985-04-07,40,남,187215422,gimjunhyeog@live.com,경기도 수원시 영통구 원천동 12-34,hyeonsug93,2022-12-06,일반,픽업트럭,Avante (CN7 N),2023-07-07,66280000,카드,5,온라인,2020-05,0,경기도 수원시
심성호,1970-01-26,55,여,438880413,pgim@igim.kr,대전광역시 유성구 봉명동 44-2,yujin12,2022-03-27,일반,중형 suv,NEXO (FE),2023-12-19,33070000,카드,3,오프라인,2018-01,7,대전광역시 유성구
안경수,1977-01-22,48,남,426727261,seonghyeongim@gmail.com,대구광역시 수성구 범어동 55-3,jeonghyibag,2022-10-10,이탈가능,준대형 세단,NEXO (FE),2024-01-08,49550000,현금,2,온라인,2018-01,7,대구광역시 수성구
황민재,1963-02-13,62,남,520485499,jgim@nate.com,전라남도 목포시 부주동 77-8,yeongsuni,2022-11-16,이탈가능,픽업트럭,Avante (CN7 N),2024-08-07,36020000,카드,3,오프라인,2020-05,2,전라남도 목포시
김혜진,1997-04-15,28,남,442876402,sonmijeong@yu.kr,서울특별시 종로구 청운동 67-89,eunji78,2023-11-17,일반,준중형 세단,G80 (RG3),2025-01-03,64440000,카드,1,오프라인,2020-03,6,서울특별시 종로구
김서준,1954-06-08,71,남,557950081,mundonghyeon@gimseongi.kr,경상남도 창원시 의창구 봉곡동 48-6,seungminjang,2022-10-27,이탈가능,준대형 세단,G80 (RG3),2024-09-18,43750000,카드,2,온라인,2020-03,2,경상남도 창원시
강서영,1994-01-04,31,여,443296982,songyeongja@dreamwiz.com,서울특별시 종로구 청운동 67-89,caeweon92,2024-07-06,이탈가능,준대형 세단,NEXO (FE),2024-04-04,79430000,현금,2,오프라인,2018-01,3,서울특별시 종로구
김지원,1958-06-02,67,남,184287425,minjun91@live.com,광주광역시 서구 치평동 14-7,qcoe,2023-10-09,일반,소형 해치백,G70 (IK),2023-10-12,47210000,현금,5,온라인,2017-09,5,광주광역시 서구
구영자,1972-06-26,53,여,515510008,lhan@hanmail.net,서울특별시 강남구 역삼동 123-45,jeongho77,2022-12-10,이탈가능,대형 suv,Santa-Fe ™,2023-11-29,85590000,카드,5,온라인,2018-01,0,서울특별시 강남구
장숙자,1977-04-04,48,여,168461892,sanghyeon29@hanmail.net,울산광역시 남구 달동 23-5,jieuncoe,2024-03-22,vip,픽업트럭,G70 (IK),2024-09-20,71210000,카드,2,온라인,2017-09,3,울산광역시 남구
최순자,1976-06-08,49,남,647176890,seunghyeon10@janggim.com,광주광역시 서구 치평동 14-7,ryuseonghyeon,2022-06-04,일반,중형 suv,G80 (RG3),2025-02-08,89790000,현금,2,오프라인,2020-03,1,광주광역시 서구
류정숙,1985-12-18,40,여,556543324,anjunho@yu.kr,부산광역시 해운대구 우동 101-12,dohyeonhwang,2023-01-10,vip,소형 해치백,G80 (RG3),2024-11-03,83120000,카드,2,오프라인,2020-03,3,부산광역시 해운대구
김영진,1982-09-08,43,남,310938682,ogjacoe@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,jungsu25,2025-02-18,vip,픽업트럭,G80 (RG3),2024-11-28,81900000,현금,5,온라인,2020-03,0,충청북도 청주시
박옥자,1997-09-02,28,남,166973319,ryujihyeon@coei.org,광주광역시 서구 치평동 14-7,donghyeonhwang,2025-02-17,vip,중형 suv,Santa-Fe ™,2023-07-13,62020000,카드,4,온라인,2018-01,0,광주광역시 서구
윤경숙,1997-06-02,28,여,7099689396,geonu77@jusighoesa.com,광주광역시 서구 치평동 14-7,kgim,2024-03-03,일반,픽업트럭,G80 (RG3),2023-07-07,79780000,카드,4,오프라인,2020-03,0,광주광역시 서구
김지영,1971-03-05,54,남,7055211003,seojeonghun@igimyang.net,울산광역시 남구 달동 23-5,anyeonggil,2024-03-21,일반,소형 해치백,NEXO (FE),2025-02-21,79430000,현금,3,오프라인,2018-01,1,울산광역시 남구
이상현,1956-02-23,69,여,433634302,gimminjun@nate.com,서울특별시 종로구 청운동 67-89,haeun00,2023-02-25,일반,준대형 세단,Santa-Fe ™,2025-02-23,30270000,현금,3,오프라인,2018-01,2,서울특별시 종로구
김하은,1986-02-12,39,남,317839984,anjeongnam@nate.com,부산광역시 해운대구 우동 101-12,yeongjagim,2023-09-17,이탈가능,준대형 세단,Avante (CN7 N),2024-08-14,32780000,현금,5,오프라인,2020-05,4,부산광역시 해운대구
류건우,1963-11-23,62,여,511430807,donghyeon65@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,haeun06,2022-09-06,vip,중형 suv,Santa-Fe ™,2023-12-27,49320000,카드,2,오프라인,2018-01,2,충청북도 청주시
손지영,2000-03-31,25,남,316944782,baegyeongsu@dreamwiz.com,인천광역시 남동구 구월동 88-10,yangyeongja,2022-04-15,이탈가능,중형 suv,G80 (RG3),2024-11-05,76660000,카드,4,온라인,2020-03,0,인천광역시 남동구
김경희,1983-12-18,42,남,616289942,jiyeonggim@nate.com,경기도 성남시 분당구 정자동 56-78,xbag,2024-12-02,이탈가능,준대형 세단,G70 (IK),2024-07-01,85860000,현금,2,오프라인,2017-09,1,경기도 성남시
김유진,1988-04-18,37,남,634448995,sugjagim@igimmun.kr,인천광역시 남동구 구월동 88-10,jihyeonbag,2023-08-18,이탈가능,소형 해치백,Avante (CN7 N),2024-01-23,88130000,카드,5,오프라인,2020-05,0,인천광역시 남동구
장현정,1975-03-27,50,여,552835058,iseonghyeon@yu.kr,경기도 수원시 영통구 원천동 12-34,jungsuyun,2022-11-02,vip,준대형 세단,Santa-Fe ™,2023-10-01,79770000,카드,2,온라인,2018-01,3,경기도 수원시
서정순,1984-05-24,41,남,647164155,dgweon@yuhanhoesa.com,광주광역시 서구 치평동 14-7,ygim,2023-09-15,일반,중형 suv,G80 (RG3),2025-02-05,74040000,현금,1,온라인,2020-03,1,광주광역시 서구
차상호,1999-11-25,26,남,526382768,jaehogim@hotmail.com,경상북도 포항시 남구 대도동 19-2,pgim,2022-11-08,일반,준중형 세단,Santa-Fe ™,2024-11-04,54940000,카드,2,오프라인,2018-01,6,경상북도 포항시
안주원,1987-11-12,38,여,436657829,seungminjang@hotmail.com,충청남도 천안시 동남구 성성동 22-3,sonyeongceol,2022-10-12,일반,중형 suv,NEXO (FE),2024-01-16,72840000,현금,2,온라인,2018-01,3,충청남도 천안시
이현숙,1977-06-26,48,남,1095402153,jgim@yuhanhoesa.kr,광주광역시 서구 치평동 14-7,anjeonghun,2022-03-25,일반,중형 suv,G80 (RG3),2023-06-18,57850000,현금,1,온라인,2020-03,1,광주광역시 서구
윤예원,1987-05-31,38,남,521488058,eunyeong01@yu.org,울산광역시 남구 달동 23-5,eunyeong65,2023-10-23,일반,픽업트럭,NEXO (FE),2023-08-16,57310000,카드,2,오프라인,2018-01,7,울산광역시 남구
이영진,1981-08-17,44,남,540536661,ihyeonsug@daum.net,대구광역시 수성구 범어동 55-3,bi,2023-08-17,일반,준대형 세단,Avante (CN7 N),2024-11-30,45700000,현금,4,온라인,2020-05,4,대구광역시 수성구
김정훈,1991-07-10,34,남,447144098,gyeonghyi99@yuo.com,경상남도 창원시 의창구 봉곡동 48-6,ijeongsu,2022-05-13,vip,준중형 세단,Santa-Fe ™,2024-12-05,41850000,카드,2,온라인,2018-01,6,경상남도 창원시
김은주,1994-04-30,31,여,428045898,yeongsucoe@yu.org,대전광역시 유성구 봉명동 44-2,gimjeonghun,2023-10-31,일반,중형 suv,G70 (IK),2024-11-18,87840000,현금,1,오프라인,2017-09,3,대전광역시 유성구
곽건우,1980-02-20,45,남,198733751,gimdoyun@gimgo.org,부산광역시 해운대구 우동 101-12,sugjagim,2023-10-19,일반,준중형 세단,Avante (CN7 N),2024-08-31,84100000,현금,3,오프라인,2020-05,1,부산광역시 해운대구
이순자,1989-05-27,36,여,424257384,juweoncoe@hotmail.com,경상북도 포항시 남구 대도동 19-2,yeji21,2023-07-27,일반,대형 suv,NEXO (FE),2023-04-27,82050000,카드,5,온라인,2018-01,0,경상북도 포항시
안민재,1969-11-21,56,여,634245125,sgim@hanmail.net,경기도 수원시 영통구 원천동 12-34,seohyeon66,2022-06-05,이탈가능,중형 suv,G70 (IK),2023-08-19,60860000,카드,5,온라인,2017-09,5,경기도 수원시
김지현,1966-09-01,59,여,165494266,vgang@gangbag.com,대전광역시 유성구 봉명동 44-2,cgweon,2023-07-01,vip,중형 suv,Santa-Fe ™,2023-05-29,71220000,현금,4,온라인,2018-01,5,대전광역시 유성구
최현준,1966-11-27,59,남,442301731,yi@gimgim.org,대구광역시 수성구 범어동 55-3,gimsanghyeon,2024-09-02,이탈가능,준대형 세단,G70 (IK),2024-03-21,33690000,현금,4,오프라인,2017-09,2,대구광역시 수성구
권동현,1981-02-16,44,여,636269842,hi@hwanggim.kr,울산광역시 남구 달동 23-5,jiagim,2024-03-09,일반,픽업트럭,NEXO (FE),2025-01-31,37190000,현금,4,온라인,2018-01,4,울산광역시 남구
