이름 (Name),생년월일 (Date of Birth),성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path),연령대,제품 출시년월 (Launch Date),Cluster
정지영,1977-11-10,여,055-306-7917,gyeonghyi68@isongseo.kr,전라북도 전주시 완산구 덕진동 33-7,ni,2024-12-16,준중형 세단,NEXO (FE),2024-04-17,65090000,현금,2,온라인,48,2018-01,7
최성호,1962-07-02,남,044-677-0796,seojuncoe@oyun.com,대구광역시 수성구 범어동 55-3,junyeongcoe,2022-12-19,픽업트럭,Santa-Fe ™,2025-02-13,76580000,카드,5,온라인,63,2018-01,3
서은정,2005-03-04,여,032-170-6440,ugim@daum.net,서울특별시 종로구 청운동 67-89,seoyeon90,2024-07-07,소형 해치백,G70 (IK),2024-08-31,57120000,현금,5,온라인,20,2017-09,5
구도현,1985-06-07,남,054-487-5794,sanghyeon16@ju.com,대전광역시 유성구 봉명동 44-2,jihyeon11,2024-08-28,준대형 세단,G80 (RG3),2023-12-11,60270000,현금,2,온라인,40,2020-03,6
안민수,1965-07-21,남,064-759-4881,yeonghyi48@yu.kr,충청남도 천안시 동남구 성성동 22-3,pi,2024-08-24,소형 해치백,NEXO (FE),2023-06-07,43120000,현금,1,오프라인,60,2018-01,6
남예진,1972-09-24,남,042-496-3606,sanghun79@hanmail.net,대구광역시 수성구 범어동 55-3,whan,2024-08-14,준대형 세단,Avante (CN7 N),2024-04-16,77400000,현금,1,오프라인,53,2020-05,4
엄재현,1999-03-22,남,052-154-1236,gangjunhyeog@gmail.com,충청남도 천안시 동남구 성성동 22-3,jidonghyeon,2024-02-04,준중형 세단,NEXO (FE),2024-02-11,67120000,현금,1,온라인,26,2018-01,7
서미정,1961-05-05,여,041-966-9178,jeongsug39@bagjang.net,대구광역시 수성구 범어동 55-3,seunghyeongim,2023-07-28,소형 해치백,G70 (IK),2023-04-15,50710000,현금,3,오프라인,64,2017-09,0
김상훈,1954-03-13,남,063-532-6061,ogsunmun@nate.com,충청남도 천안시 동남구 성성동 22-3,lgim,2024-11-04,준대형 세단,G70 (IK),2024-12-19,87880000,현금,4,오프라인,71,2017-09,3
김정수,2002-09-24,여,041-960-0393,rbag@yuhanhoesa.com,전라북도 전주시 완산구 덕진동 33-7,minjaegim,2025-01-08,대형 suv,Avante (CN7 N),2024-06-26,79830000,현금,4,오프라인,23,2020-05,5
김미경,1984-07-29,남,033-638-1854,jugwangsu@jusighoesa.net,경기도 수원시 영통구 원천동 12-34,seohyeon32,2023-07-07,준대형 세단,G70 (IK),2023-05-15,79370000,카드,2,오프라인,41,2017-09,4
김은영,1978-02-13,여,053-885-4603,egang@icoe.com,충청북도 청주시 상당구 낙실동 9-1,sangceolcoe,2023-06-22,대형 suv,G80 (RG3),2023-12-09,40770000,현금,3,온라인,47,2020-03,6
진아름,2001-04-12,여,011-666-3726,bgang@yuhanhoesa.kr,부산광역시 해운대구 우동 101-12,ai,2023-10-27,대형 suv,G70 (IK),2024-10-12,60710000,현금,4,오프라인,24,2017-09,5
손병철,1975-06-29,남,054-059-8995,ogim@yu.com,서울특별시 종로구 청운동 67-89,seonghun39,2025-01-25,준대형 세단,NEXO (FE),2024-09-02,37420000,현금,2,온라인,50,2018-01,6
윤경희,1973-09-17,남,062-112-1913,hyeonugim@yuhanhoesa.com,경상남도 창원시 의창구 봉곡동 48-6,yejungang,2022-12-11,중형 suv,G70 (IK),2023-07-20,71520000,현금,5,오프라인,52,2017-09,3
이정자,2004-03-16,여,010-2415-1251,hgim@daum.net,충청남도 천안시 동남구 성성동 22-3,myeongsug84,2024-02-01,중형 suv,Avante (CN7 N),2023-08-26,34130000,현금,5,온라인,21,2020-05,2
김현준,1957-10-24,남,011-345-1098,rgim@dreamwiz.com,대구광역시 수성구 범어동 55-3,jihye30,2022-05-10,대형 suv,Santa-Fe ™,2023-09-16,76700000,현금,4,오프라인,68,2018-01,3
최채원,1958-05-01,남,053-541-6149,caeweon12@live.com,경상북도 포항시 남구 대도동 19-2,jhan,2024-01-03,준중형 세단,G80 (RG3),2024-06-07,57710000,카드,3,오프라인,67,2020-03,1
최정호,1987-04-06,남,053-194-7742,ei@yu.com,부산광역시 해운대구 우동 101-12,jeonghoi,2024-09-28,대형 suv,Santa-Fe ™,2023-09-30,89020000,현금,3,오프라인,38,2018-01,5
김지훈,1975-08-30,남,064-784-0790,ieunjeong@yu.com,전라북도 전주시 완산구 덕진동 33-7,mjo,2022-11-16,중형 suv,Santa-Fe ™,2023-03-18,89450000,현금,1,온라인,50,2018-01,4
장정식,1985-04-07,남,018-721-5422,gimjunhyeog@live.com,경기도 수원시 영통구 원천동 12-34,hyeonsug93,2022-12-06,픽업트럭,Avante (CN7 N),2023-07-07,66280000,카드,5,온라인,40,2020-05,3
심성호,1970-01-26,여,043-888-0413,pgim@igim.kr,대전광역시 유성구 봉명동 44-2,yujin12,2022-03-27,중형 suv,NEXO (FE),2023-12-19,33070000,카드,3,오프라인,55,2018-01,1
안경수,1977-01-22,남,042-672-7261,seonghyeongim@gmail.com,대구광역시 수성구 범어동 55-3,jeonghyibag,2022-10-10,준대형 세단,NEXO (FE),2024-01-08,49550000,현금,2,온라인,48,2018-01,6
황민재,1963-02-13,남,052-048-5499,jgim@nate.com,전라남도 목포시 부주동 77-8,yeongsuni,2022-11-16,픽업트럭,Avante (CN7 N),2024-08-07,36020000,카드,3,오프라인,62,2020-05,1
김혜진,1997-04-15,남,044-287-6402,sonmijeong@yu.kr,서울특별시 종로구 청운동 67-89,eunji78,2023-11-17,준중형 세단,G80 (RG3),2025-01-03,64440000,카드,1,오프라인,28,2020-03,8
김서준,1954-06-08,남,055-795-0081,mundonghyeon@gimseongi.kr,경상남도 창원시 의창구 봉곡동 48-6,seungminjang,2022-10-27,준대형 세단,G80 (RG3),2024-09-18,43750000,카드,2,온라인,71,2020-03,1
강서영,1994-01-04,여,044-329-6982,songyeongja@dreamwiz.com,서울특별시 종로구 청운동 67-89,caeweon92,2024-07-06,준대형 세단,NEXO (FE),2024-04-04,79430000,현금,2,오프라인,31,2018-01,7
김지원,1958-06-02,남,018-428-7425,minjun91@live.com,광주광역시 서구 치평동 14-7,qcoe,2023-10-09,소형 해치백,G70 (IK),2023-10-12,47210000,현금,5,온라인,67,2017-09,0
구영자,1972-06-26,여,051-551-0008,lhan@hanmail.net,서울특별시 강남구 역삼동 123-45,jeongho77,2022-12-10,대형 suv,Santa-Fe ™,2023-11-29,85590000,카드,5,온라인,53,2018-01,3
장숙자,1977-04-04,여,016-846-1892,sanghyeon29@hanmail.net,울산광역시 남구 달동 23-5,jieuncoe,2024-03-22,픽업트럭,G70 (IK),2024-09-20,71210000,카드,2,온라인,48,2017-09,7
최순자,1976-06-08,남,064-717-6890,seunghyeon10@janggim.com,광주광역시 서구 치평동 14-7,ryuseonghyeon,2022-06-04,중형 suv,G80 (RG3),2025-02-08,89790000,현금,2,오프라인,49,2020-03,4
류정숙,1985-12-18,여,055-654-3324,anjunho@yu.kr,부산광역시 해운대구 우동 101-12,dohyeonhwang,2023-01-10,소형 해치백,G80 (RG3),2024-11-03,83120000,카드,2,오프라인,40,2020-03,7
김영진,1982-09-08,남,031-093-8682,ogjacoe@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,jungsu25,2025-02-18,픽업트럭,G80 (RG3),2024-11-28,81900000,현금,5,온라인,43,2020-03,3
박옥자,1997-09-02,남,016-697-3319,ryujihyeon@coei.org,광주광역시 서구 치평동 14-7,donghyeonhwang,2025-02-17,중형 suv,Santa-Fe ™,2023-07-13,62020000,카드,4,온라인,28,2018-01,5
윤경숙,1997-06-02,여,070-9968-9396,geonu77@jusighoesa.com,광주광역시 서구 치평동 14-7,kgim,2024-03-03,픽업트럭,G80 (RG3),2023-07-07,79780000,카드,4,오프라인,28,2020-03,5
김지영,1971-03-05,남,070-5521-1003,seojeonghun@igimyang.net,울산광역시 남구 달동 23-5,anyeonggil,2024-03-21,소형 해치백,NEXO (FE),2025-02-21,79430000,현금,3,오프라인,54,2018-01,3
이상현,1956-02-23,여,043-363-4302,gimminjun@nate.com,서울특별시 종로구 청운동 67-89,haeun00,2023-02-25,준대형 세단,Santa-Fe ™,2025-02-23,30270000,현금,3,오프라인,69,2018-01,0
김하은,1986-02-12,남,031-783-9984,anjeongnam@nate.com,부산광역시 해운대구 우동 101-12,yeongjagim,2023-09-17,준대형 세단,Avante (CN7 N),2024-08-14,32780000,현금,5,오프라인,39,2020-05,2
류건우,1963-11-23,여,051-143-0807,donghyeon65@dreamwiz.com,충청북도 청주시 상당구 낙실동 9-1,haeun06,2022-09-06,중형 suv,Santa-Fe ™,2023-12-27,49320000,카드,2,오프라인,62,2018-01,1
손지영,2000-03-31,남,031-694-4782,baegyeongsu@dreamwiz.com,인천광역시 남동구 구월동 88-10,yangyeongja,2022-04-15,중형 suv,G80 (RG3),2024-11-05,76660000,카드,4,온라인,25,2020-03,5
김경희,1983-12-18,남,061-628-9942,jiyeonggim@nate.com,경기도 성남시 분당구 정자동 56-78,xbag,2024-12-02,준대형 세단,G70 (IK),2024-07-01,85860000,현금,2,오프라인,42,2017-09,4
김유진,1988-04-18,남,063-444-8995,sugjagim@igimmun.kr,인천광역시 남동구 구월동 88-10,jihyeonbag,2023-08-18,소형 해치백,Avante (CN7 N),2024-01-23,88130000,카드,5,오프라인,37,2020-05,5
장현정,1975-03-27,여,055-283-5058,iseonghyeon@yu.kr,경기도 수원시 영통구 원천동 12-34,jungsuyun,2022-11-02,준대형 세단,Santa-Fe ™,2023-10-01,79770000,카드,2,온라인,50,2018-01,7
서정순,1984-05-24,남,064-716-4155,dgweon@yuhanhoesa.com,광주광역시 서구 치평동 14-7,ygim,2023-09-15,중형 suv,G80 (RG3),2025-02-05,74040000,현금,1,온라인,41,2020-03,4
차상호,1999-11-25,남,052-638-2768,jaehogim@hotmail.com,경상북도 포항시 남구 대도동 19-2,pgim,2022-11-08,준중형 세단,Santa-Fe ™,2024-11-04,54940000,카드,2,오프라인,26,2018-01,8
안주원,1987-11-12,여,043-665-7829,seungminjang@hotmail.com,충청남도 천안시 동남구 성성동 22-3,sonyeongceol,2022-10-12,중형 suv,NEXO (FE),2024-01-16,72840000,현금,2,온라인,38,2018-01,7
이현숙,1977-06-26,남,010-9540-2153,jgim@yuhanhoesa.kr,광주광역시 서구 치평동 14-7,anjeonghun,2022-03-25,중형 suv,G80 (RG3),2023-06-18,57850000,현금,1,온라인,48,2020-03,6
윤예원,1987-05-31,남,052-148-8058,eunyeong01@yu.org,울산광역시 남구 달동 23-5,eunyeong65,2023-10-23,픽업트럭,NEXO (FE),2023-08-16,57310000,카드,2,오프라인,38,2018-01,8
이영진,1981-08-17,남,054-053-6661,ihyeonsug@daum.net,대구광역시 수성구 범어동 55-3,bi,2023-08-17,준대형 세단,Avante (CN7 N),2024-11-30,45700000,현금,4,온라인,44,2020-05,2
김정훈,1991-07-10,남,044-714-4098,gyeonghyi99@yuo.com,경상남도 창원시 의창구 봉곡동 48-6,ijeongsu,2022-05-13,준중형 세단,Santa-Fe ™,2024-12-05,41850000,카드,2,온라인,34,2018-01,8
김은주,1994-04-30,여,042-804-5898,yeongsucoe@yu.org,대전광역시 유성구 봉명동 44-2,gimjeonghun,2023-10-31,중형 suv,G70 (IK),2024-11-18,87840000,현금,1,오프라인,31,2017-09,7
곽건우,1980-02-20,남,019-873-3751,gimdoyun@gimgo.org,부산광역시 해운대구 우동 101-12,sugjagim,2023-10-19,준중형 세단,Avante (CN7 N),2024-08-31,84100000,현금,3,오프라인,45,2020-05,4
이순자,1989-05-27,여,042-425-7384,juweoncoe@hotmail.com,경상북도 포항시 남구 대도동 19-2,yeji21,2023-07-27,대형 suv,NEXO (FE),2023-04-27,82050000,카드,5,온라인,36,2018-01,5
안민재,1969-11-21,여,063-424-5125,sgim@hanmail.net,경기도 수원시 영통구 원천동 12-34,seohyeon66,2022-06-05,중형 suv,G70 (IK),2023-08-19,60860000,카드,5,온라인,56,2017-09,0
김지현,1966-09-01,여,016-549-4266,vgang@gangbag.com,대전광역시 유성구 봉명동 44-2,cgweon,2023-07-01,중형 suv,Santa-Fe ™,2023-05-29,71220000,현금,4,온라인,59,2018-01,0
최현준,1966-11-27,남,044-230-1731,yi@gimgim.org,대구광역시 수성구 범어동 55-3,gimsanghyeon,2024-09-02,준대형 세단,G70 (IK),2024-03-21,33690000,현금,4,오프라인,59,2017-09,0
권동현,1981-02-16,여,063-626-9842,hi@hwanggim.kr,울산광역시 남구 달동 23-5,jiagim,2024-03-09,픽업트럭,NEXO (FE),2025-01-31,37190000,현금,4,온라인,44,2018-01,2
심정희,1996-12-16,남,041-847-2351,gimmiyeong@live.com,인천광역시 남동구 구월동 88-10,junseou,2022-09-10,픽업트럭,G70 (IK),2024-12-06,36260000,현금,5,온라인,29,2017-09,2
김순옥,1999-04-19,여,018-072-6912,qi@jusighoesa.com,서울특별시 강남구 역삼동 123-45,jongsu53,2024-10-22,소형 해치백,Santa-Fe ™,2023-04-22,55710000,카드,2,오프라인,26,2018-01,7
이영순,1980-03-19,여,018-988-8211,seoyeon50@yu.com,대전광역시 유성구 봉명동 44-2,hyeonju64,2023-03-28,소형 해치백,G70 (IK),2023-04-22,59060000,현금,1,온라인,45,2017-09,7
우미영,1975-12-16,여,018-545-3522,ei@jusighoesa.kr,울산광역시 남구 달동 23-5,sangceolhan,2023-10-09,픽업트럭,G70 (IK),2024-12-11,37480000,현금,5,온라인,50,2017-09,0
김정식,1974-12-16,여,051-779-1002,bi@sonjin.net,부산광역시 해운대구 우동 101-12,hyejin16,2023-10-20,픽업트럭,NEXO (FE),2023-09-28,39150000,카드,4,온라인,51,2018-01,1
이시우,2000-09-21,남,061-364-6763,ibaeg@jusighoesa.kr,경상남도 창원시 의창구 봉곡동 48-6,songjeongja,2023-11-15,중형 suv,Avante (CN7 N),2023-12-04,77130000,현금,1,오프라인,25,2020-05,7
이서영,1964-02-21,남,02-2998-7447,jeongho43@live.com,울산광역시 남구 달동 23-5,mijeong80,2023-08-28,준대형 세단,Santa-Fe ™,2024-08-09,56480000,현금,5,오프라인,61,2018-01,3
김준서,1956-12-27,여,053-054-4830,hwangjeongsu@live.com,경기도 수원시 영통구 원천동 12-34,yeonghyi20,2023-04-21,픽업트럭,Santa-Fe ™,2024-07-02,80170000,현금,4,온라인,69,2018-01,3
